,epoch_losses
0,14.194085121154785
1,11.741354942321777
2,11.231525421142578
3,8.927465438842773
4,5.954916477203369
5,4.400583267211914
6,8.785264015197754
7,3.375203847885132
8,4.718116283416748
9,6.086370468139648
10,4.626437187194824
11,4.500305652618408
12,3.944650411605835
13,4.296771049499512
14,4.100038051605225
15,3.3158764839172363
16,3.218784809112549
17,3.5164220333099365
18,3.901970624923706
19,4.686063766479492
20,3.2429070472717285
21,3.4370734691619873
22,3.6681392192840576
23,3.824493408203125
24,4.1370134353637695
25,3.0411059856414795
26,3.172577142715454
27,3.064912796020508
28,2.868856906890869
29,3.4556946754455566
30,2.7259275913238525
31,3.868689775466919
32,2.7872869968414307
33,2.7897253036499023
34,2.707805871963501
35,2.6933295726776123
36,2.8764450550079346
37,2.9311022758483887
38,2.702108383178711
39,2.639213800430298
40,2.6478118896484375
41,2.80903959274292
42,2.5051987171173096
43,2.5447888374328613
44,2.580620050430298
45,2.3845081329345703
46,2.467841863632202
47,2.4175233840942383
48,2.4428136348724365
49,2.5250580310821533
